f1_score;pct;utility_score;threshold;jaccard;minority_classes
0.3250;0.9;overtime;8;0.7;[]
0.5500;0.9;work_at_weekend;8;0.7;[]
0.4000;0.9;neighborhood_variability_sender;8;0.7;[]
0.4000;0.9;neighborhood_variability_recipient;8;0.7;[]
0.4000;0.9;neighborhood_variability_all;8;0.7;[]
0.6667;0.9;in_degree;8;0.8;[]
0.6494;0.9;out_degree;8;0.8;[]
0.4000;0.9;betweenness;8;0.8;[]
0.6786;0.9;closeness;8;0.8;[]
0.4000;0.9;eigenvector;8;0.8;[]
0.4000;0.9;clustering_coeff;8;0.8;[]
0.4156;0.9;pagerank;8;0.8;[]
0.8615;0.9;hubs;8;0.8;[]
0.6494;0.9;authorities;8;0.8;[]
0.4444;0.9;max_clique;8;0.8;[]
0.6494;0.9;cliques_count;8;0.8;[]
0.3250;0.9;overtime;8;0.8;[]
0.5500;0.9;work_at_weekend;8;0.8;[]
0.4000;0.9;neighborhood_variability_sender;8;0.8;[]
0.4000;0.9;neighborhood_variability_recipient;8;0.8;[]
0.4000;0.9;neighborhood_variability_all;8;0.8;[]
0.6667;0.9;in_degree;8;0.9;[]
0.6494;0.9;out_degree;8;0.9;[]
0.4000;0.9;betweenness;8;0.9;[]
0.4000;0.9;closeness;8;0.9;[]
0.4000;0.9;eigenvector;8;0.9;[]
0.4000;0.9;clustering_coeff;8;0.9;[]
0.4156;0.9;pagerank;8;0.9;[]
0.7500;0.9;hubs;8;0.9;[]
0.6494;0.9;authorities;8;0.9;[]
0.4444;0.9;max_clique;8;0.9;[]
0.5500;0.9;cliques_count;8;0.9;[]
0.3250;0.9;overtime;8;0.9;[]
0.5500;0.9;work_at_weekend;8;0.9;[]
0.4000;0.9;neighborhood_variability_sender;8;0.9;[]
0.4000;0.9;neighborhood_variability_recipient;8;0.9;[]
0.4000;0.9;neighborhood_variability_all;8;0.9;[]
0.6667;0.9;in_degree;8;0.99;[]
0.6494;0.9;out_degree;8;0.99;[]
0.4000;0.9;betweenness;8;0.99;[]
0.4000;0.9;closeness;8;0.99;[]
0.4000;0.9;eigenvector;8;0.99;[]
0.4000;0.9;clustering_coeff;8;0.99;[]
0.4156;0.9;pagerank;8;0.99;[]
0.7500;0.9;hubs;8;0.99;[]
0.6494;0.9;authorities;8;0.99;[]
0.4444;0.9;max_clique;8;0.99;[]
